Date,Notes,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10
2023-06-19,Last beamtime was on 2023-Jun-8 ,8.6,6.1,9.3,12.9,7.4,6,8.2,,2.9,4.7
2023-06-20,Last beamtime was on 2023-Jun-8 ,9.8,10.6,8.9,11.3,15.1,19.8,4.6,0.8,3.8,6
2023-06-21,Last beamtime was on 2023-Jun-8 ,9.3,12,10.1,15.4,9.8,20.8,4.9,0.7,3.6,8.3
2023-06-23,Last beamtime was on 2023-Jun-8 ,8.5,12.2,10.2,7.4,10.5,12.3,3.5,3.2,5.2,6.3
2023-06-26,Last beamtime was on 2023-Jun-8 ,10.6,10.4,8.4,7.6,8,12.5,4.8,0.5,0.9,6
2023-06-28,Last beamtime was on 2023-Jun-8 ,8.7,8.8,13.4,15.5,8.6,14.7,2.9,5.6,3.4,4.6
2023-06-30,Last beamtime was on 2023-Jun-8 ,8.1,6,7.1,13.2,15.2,17.2,5.1,0.3,2.7,6.9
2023-07-05,Last beamtime was on 2023-Jun-8 ,7.8,9.5,11.3,13.1,7.5,17.1,1.8,1.6,1.4,6.6
2023-07-07,Last beamtime was on 2023-Jun-8 ,7,14.1,9.9,17,5.7,18.2,6.9,0.4,1.2,7.5
2023-07-10,Last beamtime was on 2023-Jun-8 ,9.2,10.9,7.4,13.6,8,16.6,4.5,0.8,1,7.4
2023-07-12,Last beamtime was on 2023-Jun-8 ,8.6,7.9,8.5,16.6,9.7,17.9,1.5,1.4,2.5,4.7
2023-07-14,Last beamtime was on 2023-Jun-8 ,5.5,11.1,8.7,21.2,5.9,17.1,3.1,2.6,1.8,7.3
2023-07-17,Last beamtime was on 2023-Jun-8 ,3.2,6.9,7.7,23.4,6,15.6,3.5,3.9,3.2,2.4
2023-07-19,Last beamtime was on 2023-Jun-8 ,2.2,10.2,9.9,22.7,3.2,17.1,1.5,0.2,3,6
2023-07-21,Last beamtime was on 2023-Jun-8 ,8.3,7.9,4.8,19.4,8.2,18.9,2.6,3.4,5.2,6.3
2023-07-24,Last beamtime was on 2023-Jun-8 ,7.2,7.6,6.6,17.5,5.8,15.9,4.1,2.9,4.3,6
2023-07-26,Last beamtime was on 2023-Jun-8 ,8.1,6.9,8.4,18,7.3,14.3,3.1,1,2.3,8.3
2023-07-28,Last beamtime was on 2023-Jul-27. Only dark current.,7.8,14.3,6.8,15.1,9,15.4,2.3,0.9,4,8.6
2023-07-31,Last beamtime was on 2023-Jul-28. Only dark current.,6.7,8.3,12.1,22.6,12,12.1,4.2,0.5,2.4,7.1
2023-08-02,Last beamtime was on 2023-Aug-1. Photocurrent. ,9.3,8.8,10.6,16,8.4,14.1,8.2,3.2,2,6.8
2023-08-03,Last beamtime was on 2023-Aug-2. Photocurrent. ,5.3,5.1,5.5,8,7.5,12.8,8.5,1.8,7.5,0.3
2023-08-04,Last beamtime was on 2023-Aug-3. Photocurrent. ,8.1,7.5,5.3,13.6,8.6,18.8,5.1,1.6,6.4,8.4
2023-08-04,Last beamtime was on 2023-Aug-4. Photocurrent. ,5.3,4.1,10.3,20.6,9.9,20,4.3,2.6,2.7,7.2
2023-08-07,Last beamtime was on 2023-Aug-4. Photocurrent. ,8.2,5.9,9.1,15.1,7.9,2.4,1.9,2.5,6.6,6.3
2023-08-24,Last beamtime was on 2023-Aug-4. Photocurrent. ,9.2,11.5,11.8,23.8,8.5,21.4,7.1,,6.7,7.4
2023-08-28,Last beamtime was on 2023-Aug-4. Photocurrent. ,9.8,11.3,8.9,19.3,8.5,20.6,2.8,,3.8,6.2
2023-08-29,Last beamtime was on 2023-Aug-4. Photocurrent. ,8.1,7.3,6.4,18.2,5.4,18.7,3.4,,3.4,7.4
2023-08-31,Last beamtime was on 2023-Aug-4. Photocurrent. ,8.7,9.2,7.8,18.1,6.4,17.9,3.6,,3.1,7.6
2023-09-05,Last beamtime was on 2023-Aug-4. Photocurrent. ,10.8,12.3,11.6,21,8.8,11.5,3.2,,2.2,8.9
2023-09-07,Last beamtime was on 2023-Aug-4. Photocurrent. ,6.8,10.7,10.4,16,7.3,21.3,5.2,4.1,5.3,7.9
2023-09-12,Last beamtime was on 2023-Aug-4. Photocurrent. ,7.3,11.1,13,13.4,7.8,19.9,8.5,3.9,5.9,2.4
2023-09-14,Last beamtime was on 2023-Aug-4. Photocurrent. ,9.6,7.7,10.3,22.7,9.1,24.3,6.8,8.5,4.4,8.2
2023-09-19,Last beamtime was on 2023-Aug-4. Photocurrent. ,8.2,12.6,7.8,18.9,9.5,24.4,5,2.8,6.3,5.4
2023-09-21,Last beamtime was on 2023-Aug-4. Photocurrent. ,10.1,9.9,9.5,17.1,8.8,18.2,9.1,1.7,6.1,7.4
2023-10-05,Last beamtime was on 2023-Aug-4. Photocurrent. ,8.4,9.8,10.7,16.5,8.2,21.5,6.1,4.8,5.8,7.9
2023-10-12,Last beamtime was on 2023-Aug-4. Photocurrent. ,10.4,8.4,7.3,18.2,8.3,21.9,5.9,6.2,4.8,8.1
2023-10-17,Last beamtime was on 2023-Aug-4. Photocurrent. ,8.4,9.3,11.2,24.1,8.3,223,6.9,4.5,7.1,7.8
2023-10-19,Modulators were running in the afternoon.,7.8,9.7,8.8,16.9,7.6,19.3,5.3,4.7,5.7,7.3
2023-10-26,Modultors were running 10/19/2023,8.1,8.9,9.7,21.1,6.3,21.3,5.8,3.9,5.8,8.1
2023-10-30,Beam run on Friday and will be run later today.,7.8,6.4,9.2,17.4,7.9,18.1,6.1,3.1,2.8,5.2
2023-10-31,Beam was run yesterday,7.6,9.4,8.2,20.5,8,21.8,5.6,3.2,4.3,6.9
2023-11-01,Beam was run yesterday and will be run later today,9.9,7.5,8.6,22.4,8.9,21.8,3.8,1.9,4.7,6.8
2023-11-02,Beam was run yesterday and will be run later today,6.7,6.1,5.7,20.7,8.7,22.4,4.5,5.2,5.8,9.2
2023-11-02,Just following beamtime (3.2 pC),12.5,21.5,18.8,21.4,19.4,27.8,4.8,15.6,11.6,8.1
2023-11-06,Last beamtime 11/06/2023,8.2,7.9,8.7,18.7,12.1,24.8,5.5,8.1,2,9.5
2023-11-07,Last beamtime 11/06/2024,7.4,8.7,9.4,15.6,8.2,18.7,4.3,5.1,3.4,6.8
2023-11-13,Last beamtime 11/06/2025,3.6,7.7,8.3,17.8,7.3,24.1,4.5,10.4,2.8,7.4
2023-11-14,RF was enabled into the accelerating structures yesterday,8.9,10.3,7.5,19.2,8.4,20.6,4.7,9.1,2.6,8.9
2023-11-16,RF was enable into the structures 11/14/2023,11.1,10.2,8.8,15.1,6.2,18.6,6.5,5.7,1.7,6.2
2023-11-28,RF was enable into the structures 11/14/2024,9.3,8.1,7.2,17.5,10,22.7,5.3,8.3,2.7,7.1
2023-11-30,RF was enable into the structures 11/14/2025,7.9,9.1,11.2,22.1,8.8,16.6,3.8,4,5.4,6.3
2023-12-11,Spike to 530 ÂµR/hr near B. Unable to locate the source. ,9.1,14.2,12.1,23.8,4.1,19.9,9.5,12.2,5.2,8.1
2023-12-12,RF was enable into the structures 11/14/2025,8.4,11.7,9.4,21.3,8.7,15.9,3.7,10.2,5.3,9.5
2023-12-14,RF was enable into the structures 11/14/2026,8.7,12.8,10.1,196,11.1,10.4,4.8,9.2,3.9,4.4
2023-12-19,RF was enable into the structures 11/14/2027,10.5,9.7,6.2,17.8,6.6,21.6,4.7,13.1,4.2,5.5
2023-12-21,Beamtime Tue/Wed to characterize Hutch-1 radiation.,12.7,7.4,7.6,21.4,8.9,21.4,4.7,8.1,5.9,6.8
2024-01-05,Short beamtime on 01/04/2024,5.1,4.3,6.1,4.3,5.7,19.4,9.7,9.2,8.7,7.4
2024-01-10,Last beamtime on 01/04/2024,7.1,4.9,9.7,8.4,6.8,17.8,2.1,3.1,4.9,6.5
2024-01-23,Last beamtime on 01/04/2025,9.8,8.7,9.9,20.3,7.3,17.3,4.9,7,0.5,7.1
2024-01-25,Last beamtime on 01/04/2026,10.1,9.2,9.3,18.6,7.7,19.2,5.9,5.2,2.8,7
2024-01-30,Last beamtime on 01/04/2027,11.7,7.2,7.2,16.1,6.6,16.1,5.5,5.8,4.7,6.8
2024-02-01,Last beamtime on 01/04/2028,9.8,9.6,10.8,21.3,10.1,20.2,2.6,4.3,5.2,7.3
2024-02-08,Last beamtime on 01/04/2029,10.4,9.1,9.3,17.6,9.3,18.6,6.8,6.1,3.1,6.1
2024-02-13,Last beamtime on 01/04/2030,11.1,7.3,8.5,18.3,6.3,21.6,2.4,2.8,3.1,6.2
2024-02-15,Last beamtime on 01/04/2031,9.2,8.7,10.1,19,8.9,15.7,5.1,5.7,4.3,5.8
2024-02-20,Last beamtime on 01/04/2032,8.4,9.3,9,20.7,7.4,18.7,6.4,3.8,3.6,6.7
2024-02-22,Last beamtime on 2/21/2024,8.1,7.2,6.5,14.2,7.8,19.6,5.4,9.5,2.9,6.2
2024-02-27,Last beamtime on 2/21/2024,12.3,7.4,7.9,16.9,5.8,14.6,5.6,8.1,3.8,6.3
